nregistro,nombre,pactivos,labtitular,labcomercializador,cn,dosis,formaFarmaceuticaSimplificada,estado_aut,estado_rev,viasAdministracion,comerc,receta,generico,conduc,triangulo,huerfano,biosimilar,url_html_ficha_tecnica,url_foto_materiales,num_registros_atc,num_principios_activos
90505,HIDROCORTISONA NORMON 100 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG,HIDROCORTISONA SUCCINATO SODIO,Laboratorios Normon S.A.,Laboratorios Normon S.A.,768305,100 MG,INYECTABLE,1754992322000,,VÍA INTRAMUSCULAR,True,True,True,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/90505/FT_90505.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/90505/90505_materialas.jpg,3,1
60689,"INALACOR ACCUHALER 100 MICROGRAMOS/INHALACIÓN, POLVO PARA INHALACIÓN",FLUTICASONA PROPIONATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,686139,100 mcg,INHALACIÓN PULMONAR,867708000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/60689/FT_60689.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/60689/60689_materialas.jpg,3,1
60691,INALACOR ACCUHALER 500 MICROGRAMOS/INHALACIÓN POLVO PARA INHALACIÓN,FLUTICASONA PROPIONATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,686097,500 mcg,INHALACIÓN PULMONAR,867708000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/60691/FT_60691.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/60691/60691_materialas.jpg,3,1
60688,INALACOR 250 MICROGRAMOS/INHALACIÓN SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN,FLUTICASONA PROPIONATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,686154,"0,25 mg",INHALACIÓN PULMONAR,867708000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/60688/FT_60688.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/60688/60688_materialas.jpg,3,1
60686,INALACOR 50 MICROGRAMOS/INHALACIÓN SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN,FLUTICASONA PROPIONATO,Glaxosmithkline S.A.,Glaxosmithkline S.A.,686196,"0,05 mg",INHALACIÓN PULMONAR,867708000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/60686/FT_60686.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/60686/60686_materialas.jpg,3,1
62867,"INALADUO ACCUHALER 50 microgramos/100 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,848671,100 µg / 50 µg,INHALACIÓN PULMONAR,946940400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/62867/FT_62867.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62867/62867_materialas.jpg,3,2
62868,"INALADUO ACCUHALER 50 microgramos/250 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,700545,250 µg / 50 µg,INHALACIÓN PULMONAR,946940400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/62868/FT_62868.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62868/62868_materialas.jpg,3,2
62869,"INALADUO ACCUHALER 50 microgramos/500 microgramos/INHALACIÓN, POLVO PARA INHALACIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,700546,500 µg / 50 µg,INHALACIÓN PULMONAR,946940400000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/62869/FT_62869.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/62869/62869_materialas.jpg,3,2
64065,"INALADUO 25 microgramos/125 microgramos/ INHALACIÓN, SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,909820,-,INHALACIÓN PULMONAR,994716000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/64065/FT_64065.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64065/64065_materialas.jpg,3,2
64066,"INALADUO 25 microgramos/250 microgramos/ INHALACIÓN, SUSPENSIÓN PARA INHALACIÓN EN ENVASE A PRESIÓN","FLUTICASONA PROPIONATO, SALMETEROL XINAFOATO",Glaxosmithkline S.A.,Glaxosmithkline S.A.,911610,-,INHALACIÓN PULMONAR,994716000000,,VÍA INHALATORIA,True,True,False,False,False,False,False,https://cima.aemps.es/cima/dochtml/ft/64066/FT_64066.html,https://cima.aemps.es/cima/fotos/thumbnails/materialas/64066/64066_materialas.jpg,3,2
